output
HIT te0 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)) ; log prior = -3.258136 ; log likelihood = 0.000000
HIT te38 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))))) ; log prior = -14.226331 ; log likelihood = 0.000000
MISS te39
HIT te40 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) ; log prior = -8.563713 ; log likelihood = 0.000000
HIT te41 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.950946 ; log likelihood = 0.000000
HIT te42 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) ; log prior = -6.862109 ; log likelihood = 0.000000
HIT te43 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0)))) $0)) ; log prior = -4.443338 ; log likelihood = 0.000000
HIT te44 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.947000 ; log likelihood = 0.000000
HIT te45 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) $0)) ; log prior = -4.093622 ; log likelihood = 0.000000
HIT te46 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0)))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.953702 ; log likelihood = 0.000000
HIT te47 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_rrotate (mathDomain_mult $0 mathDomain_4) mathDomain_4))) (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (mathDomain_swap $0 mathDomain_1)))) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))) ; log prior = -8.166501 ; log likelihood = 0.000000
HIT te48 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))) $0)) ; log prior = -5.121319 ; log likelihood = 0.000000
HIT te49 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) $0)) ; log prior = -4.093579 ; log likelihood = 0.000000
HIT te50 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -4.054649 ; log likelihood = 0.000000
MISS te51
MISS te52
HIT te53 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_div $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_1))) (mathDomain_dist $0 mathDomain_2))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) $0)) ; log prior = -4.264581 ; log likelihood = 0.000000
