output,#terms
MISS te10,4
MISS te11,5
MISS te12,5
MISS te13,4
MISS te14,5
MISS te15,4
MISS te16,4
MISS te17,4
HIT te18 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) $0))) ; log prior = -8.798080 ; log likelihood = 0.000000,
HIT te19 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0))) ; log prior = -8.372373 ; log likelihood = 0.000000,
MISS te20,4
HIT te21 w/ (lambda (mathDomain_swap $0 mathDomain_0)) ; log prior = -8.514308 ; log likelihood = 0.000000,
HIT te22 w/ (lambda (#(lambda (lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (mathDomain_mult $1 $0))))) $0 mathDomain_3)) ; log prior = -7.330396 ; log likelihood = 0.000000,
MISS te23,4
HIT te24 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) ; log prior = -7.363903 ; log likelihood = 0.000000,
HIT te25 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.920175 ; log likelihood = 0.000000,
HIT te26 w/ (lambda (#(lambda (#(lambda (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (mathDomain_swap $1 $0)))) $0 mathDomain_1)) $0)) ; log prior = -3.724085 ; log likelihood = 0.000000,
HIT te27 w/ (lambda (#(lambda (#(lambda (lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (mathDomain_mult $1 $0))))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0) mathDomain_3)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0)))) ; log prior = -11.828538 ; log likelihood = 0.000000,
HIT te28 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) $0)) ; log prior = -4.266992 ; log likelihood = 0.000000,
HIT te29 w/ (lambda (#(lambda (#(lambda (lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (mathDomain_mult $1 $0))))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0) mathDomain_3)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0)))) ; log prior = -11.052088 ; log likelihood = 0.000000,
HIT te30 w/ (lambda (#(lambda (lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (mathDomain_mult $1 $0))))) $0 mathDomain_3)) ; log prior = -7.330265 ; log likelihood = 0.000000,
HIT te31 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.927360 ; log likelihood = 0.000000,
MISS te32,4
HIT te33 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0))) ; log prior = -8.375015 ; log likelihood = 0.000000,
MISS te34,4
MISS te35,4
MISS te36,4
HIT te37 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) $0)) ; log prior = -4.275585 ; log likelihood = 0.000000,
HIT te38 w/ (lambda (#(lambda (#(lambda (lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (mathDomain_mult $1 $0))))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0) mathDomain_3)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0))) ; log prior = -8.840264 ; log likelihood = 0.000000,
MISS te39,3
HIT te40 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) $0)))) $0))) $0)) ; log prior = -4.650970 ; log likelihood = 0.000000,
HIT te41 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.927031 ; log likelihood = 0.000000,
MISS te42,4
HIT te43 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))) ; log prior = -9.581664 ; log likelihood = 0.000000,
MISS te44,4
HIT te45 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (mathDomain_dist $0 mathDomain_1))) ; log prior = -12.088224 ; log likelihood = 0.000000,
HIT te46 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) $0)) ; log prior = -4.929756 ; log likelihood = 0.000000,
HIT te47 w/ (lambda (#(lambda (lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (mathDomain_mult $1 $0))))) $0 mathDomain_3)) ; log prior = -7.304345 ; log likelihood = 0.000000,
HIT te48 w/ (lambda (#(lambda (#(lambda (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_div (mathDomain_swap $1 $0) mathDomain_3)))) (mathDomain_swap $0 mathDomain_0) mathDomain_1)) (mathDomain_dist $0 mathDomain_2))) (mathDomain_dist $0 mathDomain_3))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) (mathDomain_sub $0 mathDomain_2))) $0))))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate $0 mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_0))) $0))) (mathDomain_swap $1 $0)))) $0 mathDomain_6)) $0)) ; log prior = -4.857109 ; log likelihood = 0.000000,
