,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
16,"(-1) = (2 + 3x)
",(= (-1) (+ (2) (* (3) (x)))),TRUE,x = -1,(= (x) (-1))
17,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),TRUE,x = 1,(= (x) (1))
18,"((-1) / 2) = x
",(= (/ (-1) (2)) (x)),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
19,"((-1) / x) = (-2)
",(= (/ (-1) (x)) (-2)),TRUE,x = 1/2,(= (x) (/ (1) (2)))
20,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
21,"-1x = (2x + 3)
",(= (* (-1) (x)) (+ (* (2) (x)) (3))),TRUE,x = -1,(= (x) (-1))
22,"(1 + -2x) = (-3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),TRUE,x = -5,(= (x) (-5))
23,"(1 + -2x) = ((-3) + -4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),TRUE,x = -2,(= (x) (-2))
24,"((-1) + (2 / x)) = 3
",(= (+ (-1) (/ (2) (x))) (3)),TRUE,x = 1/2,(= (x) (/ (1) (2)))
25,"(-1x + 2x) = (-3)
",(= (+ (* (-1) (x)) (* (2) (x))) (-3)),TRUE,x = -3,(= (x) (-3))
26,"(1 - (-2)) = (((3 / x) + (-4)) - (-5))
",(= (- (1) (-2)) (- (+ (/ (3) (x)) (-4)) (-5))),TRUE,x = 3/2,(= (x) (/ (3) (2)))
27,"(1 / x) = 2
",(= (/ (1) (x)) (2)),TRUE,x = 1/2,(= (x) (/ (1) (2)))
28,"((-1) + -2x) = (-3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),TRUE,x = -3,(= (x) (-3))
29,"((-1x + 2) - 3x) = 4
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (4)),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
30,"1 = ((-2) + -3x)
",(= (1) (+ (-2) (* (-3) (x)))),TRUE,x = -1,(= (x) (-1))
31,"((-1) - 2x) = (3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (3) (x)) (4))),TRUE,x = 3/5,(= (x) (/ (3) (5)))
32,"((1x - 2) + 3) = ((4x - 5) + 6)
",(= (+ (- (* (1) (x)) (2)) (3)) (+ (- (* (4) (x)) (5)) (6))),TRUE,x = 0,(= (x) (0))
33,"1 = ((2 - 3x) - 4x)
",(= (1) (- (- (2) (* (3) (x))) (* (4) (x)))),TRUE,x = 1/7,(= (x) (/ (1) (7)))
34,"((1 + 2) * x) = 3
",(= (* (+ (1) (2)) (x)) (3)),TRUE,x = 1,(= (x) (1))
35,"1 = (2 + (3 / x))
",(= (1) (+ (2) (/ (3) (x)))),TRUE,x = -3,(= (x) (-3))
36,"x = (-1x + 2)
",(= (x) (+ (* (-1) (x)) (2))),TRUE,x = 1,(= (x) (1))
37,"1 = (2x + 3)
",(= (1) (+ (* (2) (x)) (3))),TRUE,x = -1,(= (x) (-1))
38,"(1 + 2x) = (3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (4))),TRUE,x = -3,(= (x) (-3))
39,"1 = (((-2) / x) + (-3))
",(= (1) (+ (/ (-2) (x)) (-3))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
40,"((-1) + -2x) = (-3)
",(= (+ (-1) (* (-2) (x))) (-3)),TRUE,x = 1,(= (x) (1))
41,"((-1) + 2x) = (-3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (-4))),TRUE,x = -3/5,(= (x) (/ (-3) (5)))
42,"(1x - -2x) = 3
",(= (- (* (1) (x)) (* (-2) (x))) (3)),TRUE,x = 1,(= (x) (1))
43,"((-1) + 2x) = (3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (3) (x)) (4))),TRUE,x = 3,(= (x) (3))
44,"(1 / x) = (2 + 3)
",(= (/ (1) (x)) (+ (2) (3))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
45,"(-1x + 2) = (3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (-4))),TRUE,x = 3/2,(= (x) (/ (3) (2)))
46,"(-1x + 2x) = ((-3) + 4)
",(= (+ (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),TRUE,x = 1,(= (x) (1))
47,"1x = (2 + 3)
",(= (* (1) (x)) (+ (2) (3))),TRUE,x = 5,(= (x) (5))
48,"((-1) - 2x) = (3 - 4x)
",(= (- (-1) (* (2) (x))) (- (3) (* (4) (x)))),TRUE,x = 2,(= (x) (2))
49,"(1 / 2) = (((-3) + 4x) / 5)
",(= (/ (1) (2)) (/ (+ (-3) (* (4) (x))) (5))),TRUE,x = 11/8,(= (x) (/ (1) (1) (8)))
50,"1 = -2x
",(= (1) (* (-2) (x))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
51,"((-1) + -2x) = ((-3) + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),TRUE,x = -1,(= (x) (-1))
52,"-1x = (-2)
",(= (* (-1) (x)) (-2)),TRUE,x = 2,(= (x) (2))
53,"((-1) + -2x) = (3 + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (-4) (x)))),TRUE,x = 2,(= (x) (2))
54,"(((-1) / x) + (-2)) = 3
",(= (+ (/ (-1) (x)) (-2)) (3)),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
55,"1 = ((-2) + (3 / x))
",(= (1) (+ (-2) (/ (3) (x)))),TRUE,x = 1,(= (x) (1))
56,"(((-1) / x) + 2) = 3
",(= (+ (/ (-1) (x)) (2)) (3)),TRUE,x = -1,(= (x) (-1))
57,"(1x + 2) = (3 - 4x)
",(= (+ (* (1) (x)) (2)) (- (3) (* (4) (x)))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
58,"(1 + -2x) = 3
",(= (+ (1) (* (-2) (x))) (3)),TRUE,x = -1,(= (x) (-1))
59,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),TRUE,x = -4/3,(= (x) (/ (-4) (3)))
60,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),TRUE,x = -3,(= (x) (-3))
61,"((-1x - 2) + 3) = 4x
",(= (+ (- (* (-1) (x)) (2)) (3)) (* (4) (x))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
62,"((1 - 2) / 3) = x
",(= (/ (- (1) (2)) (3)) (x)),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
63,"(-1) = (2 + ((-3) / x))
",(= (-1) (+ (2) (/ (-3) (x)))),TRUE,x = 1,(= (x) (1))
64,"-1x = -2x
",(= (* (-1) (x)) (* (-2) (x))),TRUE,x = 0,(= (x) (0))
65,"(1x + (-2)) = (-3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (-4))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
66,"(-1x + (-2)) = (-3)
",(= (+ (* (-1) (x)) (-2)) (-3)),TRUE,x = 1,(= (x) (1))
67,"(-1x - 2) = (3 + 4x)
",(= (- (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),TRUE,x = -1,(= (x) (-1))
68,"(-1x + 2) = (-3)
",(= (+ (* (-1) (x)) (2)) (-3)),TRUE,x = 5,(= (x) (5))
69,"((-1) + 2x) = 3
",(= (+ (-1) (* (2) (x))) (3)),TRUE,x = 2,(= (x) (2))
70,"(-1x + (-2)) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (4) (x)))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
71,"(-1x + 2) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (4) (x)))),TRUE,x = 1,(= (x) (1))
72,"((-1) + -2x) = (-3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (4))),TRUE,x = 5,(= (x) (5))
73,"((-1) - 2x) = (-3)
",(= (- (-1) (* (2) (x))) (-3)),TRUE,x = 1,(= (x) (1))
74,"(-1) = (-2x / (-3))
",(= (-1) (/ (* (-2) (x)) (-3))),TRUE,x = -3/2,(= (x) (/ (-3) (2)))
75,"1x = (((2 - 3x) - 4) + 5x)
",(= (* (1) (x)) (+ (- (- (2) (* (3) (x))) (4)) (* (5) (x)))),TRUE,x = 2,(= (x) (2))
76,"(((-1) / x) + (-2)) = (-3)
",(= (+ (/ (-1) (x)) (-2)) (-3)),TRUE,x = 1,(= (x) (1))
77,"(1x + (-2)) = ((-3) + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (-4) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
78,"1x = (-2x - 3)
",(= (* (1) (x)) (- (* (-2) (x)) (3))),TRUE,x = -1,(= (x) (-1))
79,"(-1) = x
",(= (-1) (x)),TRUE,x = -1,(= (x) (-1))
80,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),TRUE,x = -2,(= (x) (-2))
81,"((1 - (2 / x)) - 3) = (4 - 5)
",(= (- (- (1) (/ (2) (x))) (3)) (- (4) (5))),TRUE,x = -2,(= (x) (-2))
82,"x = ((1 - 2) / (-3))
",(= (x) (/ (- (1) (2)) (-3))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
83,"(1 + -2x) = ((-3) + 4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (4) (x)))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
84,"1x = (2x / x)
",(= (* (1) (x)) (/ (* (2) (x)) (x))),TRUE,x = 2,(= (x) (2))
85,"(1 + -2x) = (-3)
",(= (+ (1) (* (-2) (x))) (-3)),TRUE,x = 2,(= (x) (2))
86,"(-1x + 2) = (3 + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (-4) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
87,"1 = (2x + (-3))
",(= (1) (+ (* (2) (x)) (-3))),TRUE,x = 2,(= (x) (2))
88,"1 = ((2 / x) + (-3))
",(= (1) (+ (/ (2) (x)) (-3))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
89,"(-1x + 2) = (3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (4))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
90,"(1x - -2x) = (-3)
",(= (- (* (1) (x)) (* (-2) (x))) (-3)),TRUE,x = -1,(= (x) (-1))
91,"(-1x + 2) = 3
",(= (+ (* (-1) (x)) (2)) (3)),TRUE,x = -1,(= (x) (-1))
