,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
19,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),True,x = -1/4,(= (x) (/ (-1) (4)))
20,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),True,x = -2/9,(= (x) (/ (-2) (9)))
21,"((1 / x) + 2) = (-3)
",(= (+ (/ (1) (x)) (2)) (-3)),True,x = -1/5,(= (x) (/ (-1) (5)))
22,"(1/x)=(-3)
",(= (/ (1) (x)) (-3)),True,x = -1/3,(= (x) (/ (-1) (3)))
23,"(-1) = ((2 / x) + 3)
",(= (-1) (+ (/ (2) (x)) (3))),True,x = -1/2,(= (x) (/ (-1) (2)))
24,"(1x + (-2)) = (-3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3/2,(= (x) (/ (3) (2)))
25,"(1x+(-2))=(+4)
",(= (+ (* (1) (x)) (-2)) (+ (4))),True,x = 6,(= (x) (6))
26,"((-1x + 2) - 3) = -4x
",(= (- (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
27,"(-1x+2)=-4x
",(= (+ (* (-1) (x)) (2)) (* (-4) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
28,"(-1) = (2 + 3x)
",(= (-1) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1))
29,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
30,"((-1) / 2) = x
",(= (/ (-1) (2)) (x)),True,x = -1/2,(= (x) (/ (-1) (2)))
31,"((-1) / x) = (-2)
",(= (/ (-1) (x)) (-2)),True,x = 1/2,(= (x) (/ (1) (2)))
32,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
33,"-1x = (2x + 3)
",(= (* (-1) (x)) (+ (* (2) (x)) (3))),True,x = -1,(= (x) (-1))
34,-1x=2x,(= (* (-1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
35,"(1 + -2x) = (-3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -5,(= (x) (-5))
36,"(1+-2x)=(+(-4))
",(= (+ (1) (* (-2) (x))) (+ (-4))),True,x = 5/2,(= (x) (/ (5) (2)))
37,"(1 + -2x) = ((-3) + -4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2,(= (x) (-2))
38,"((-1) + (2 / x)) = 3
",(= (+ (-1) (/ (2) (x))) (3)),True,x = 1/2,(= (x) (/ (1) (2)))
39,"(-1x + 2x) = (-3)
",(= (+ (* (-1) (x)) (* (2) (x))) (-3)),True,x = -3,(= (x) (-3))
40,"(1 - (-2)) = (((3 / x) + (-4)) - (-5))
",(= (- (1) (-2)) (- (+ (/ (3) (x)) (-4)) (-5))),True,x = 3/2,(= (x) (/ (3) (2)))
41,"(1 / x) = 2
",(= (/ (1) (x)) (2)),True,x = 1/2,(= (x) (/ (1) (2)))
42,"((-1) + -2x) = (-3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3))
43,"(+-2x)=(-3x+(-4))
",(= (+ (* (-2)) (x)) (+ (* (-3) (x)) (-4))),True,x = -4,(= (x) (-4))
44,"((-1x + 2) - 3x) = 4
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = -1/2,(= (x) (/ (-1) (2)))
45,"(-1x+2)=4
",(= (+ (* (-1) (x)) (2)) (4)),True,x = -2,(= (x) (-2))
46,"1 = ((-2) + -3x)
",(= (1) (+ (-2) (* (-3) (x)))),True,x = -1,(= (x) (-1))
47,"1=(+-3x)
",(= (1) (+ (* (-3)) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
48,"((-1) - 2x) = (3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
49,"((1x - 2) + 3) = ((4x - 5) + 6)
",(= (+ (- (* (1) (x)) (2)) (3)) (+ (- (* (4) (x)) (5)) (6))),True,x = 0,(= (x) (0))
50,"1 = ((2 - 3x) - 4x)
",(= (1) (- (- (2) (* (3) (x))) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7)))
51,"((1 + 2) * x) = 3
",(= (* (+ (1) (2)) (x)) (3)),True,x = 1,(= (x) (1))
52,"1 = (2 + (3 / x))
",(= (1) (+ (2) (/ (3) (x)))),True,x = -3,(= (x) (-3))
53,"x = (-1x + 2)
",(= (x) (+ (* (-1) (x)) (2))),True,x = 1,(= (x) (1))
54,"x=(+2)
",(= (x) (+ (2))),True,x = 2,(= (x) (2))
55,"1 = (2x + 3)
",(= (1) (+ (* (2) (x)) (3))),True,x = -1,(= (x) (-1))
56,1=2x,(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
57,"(1 + 2x) = (3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
58,"1=(3x+4)
",(= (1) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1))
59,"1 = (((-2) / x) + (-3))
",(= (1) (+ (/ (-2) (x)) (-3))),True,x = -1/2,(= (x) (/ (-1) (2)))
60,"((-1) + -2x) = (-3)
",(= (+ (-1) (* (-2) (x))) (-3)),True,x = 1,(= (x) (1))
61,"((-1) + 2x) = (-3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3/5,(= (x) (/ (-3) (5)))
62,"(-1)=(-3x+(-4))
",(= (-1) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
63,"(1x - -2x) = 3
",(= (- (* (1) (x)) (* (-2) (x))) (3)),True,x = 1,(= (x) (1))
64,"((-1) + 2x) = (3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 3,(= (x) (3))
65,"(1 / x) = (2 + 3)
",(= (/ (1) (x)) (+ (2) (3))),True,x = 1/5,(= (x) (/ (1) (5)))
66,"(-1x + 2) = (3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3/2,(= (x) (/ (3) (2)))
67,"-1x=(3x+(-4))
",(= (* (-1) (x)) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
68,"(-1x + 2x) = ((-3) + 4)
",(= (+ (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),True,x = 1,(= (x) (1))
69,"(-1x+2x)=(+4)
",(= (+ (* (-1) (x)) (* (2) (x))) (+ (4))),True,x = 4,(= (x) (4))
70,"1x = (2 + 3)
",(= (* (1) (x)) (+ (2) (3))),True,x = 5,(= (x) (5))
71,1x=2,(= (* (1) (x)) (2)),True,x = 2,(= (x) (2))
72,"((-1) - 2x) = (3 - 4x)
",(= (- (-1) (* (2) (x))) (- (3) (* (4) (x)))),True,x = 2,(= (x) (2))
73,"(1 / 2) = (((-3) + 4x) / 5)
",(= (/ (1) (2)) (/ (+ (-3) (* (4) (x))) (5))),True,x = 11/8,(= (x) (/ (1) (1) (8)))
74,"1 = -2x
",(= (1) (* (-2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
75,"((-1) + -2x) = ((-3) + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1))
76,"((-1)+-2x)=(+-4x)
",(= (+ (-1) (* (-2) (x))) (+ (* (-4)) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
77,"-1x = (-2)
",(= (* (-1) (x)) (-2)),True,x = 2,(= (x) (2))
78,"((-1) + -2x) = (3 + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 2,(= (x) (2))
79,"(((-1) / x) + (-2)) = 3
",(= (+ (/ (-1) (x)) (-2)) (3)),True,x = -1/5,(= (x) (/ (-1) (5)))
80,"1 = ((-2) + (3 / x))
",(= (1) (+ (-2) (/ (3) (x)))),True,x = 1,(= (x) (1))
81,"1=(+(3/x))
",(= (1) (+ (/ (3)) (x))),True,x = 3,(= (x) (3))
82,"(((-1) / x) + 2) = 3
",(= (+ (/ (-1) (x)) (2)) (3)),True,x = -1,(= (x) (-1))
83,"((-1)/x)=3
",(= (/ (-1) (x)) (3)),True,x = -1/3,(= (x) (/ (-1) (3)))
84,"(1x + 2) = (3 - 4x)
",(= (+ (* (1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
85,"(1 + -2x) = 3
",(= (+ (1) (* (-2) (x))) (3)),True,x = -1,(= (x) (-1))
86,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -4/3,(= (x) (/ (-4) (3)))
87,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),True,x = -3,(= (x) (-3))
88,1x=2x,(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
89,"((-1x - 2) + 3) = 4x
",(= (+ (- (* (-1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/5,(= (x) (/ (1) (5)))
90,"((1 - 2) / 3) = x
",(= (/ (- (1) (2)) (3)) (x)),True,x = -1/3,(= (x) (/ (-1) (3)))
91,"(-1) = (2 + ((-3) / x))
",(= (-1) (+ (2) (/ (-3) (x)))),True,x = 1,(= (x) (1))
92,"-1x = -2x
",(= (* (-1) (x)) (* (-2) (x))),True,x = 0,(= (x) (0))
93,"(1x + (-2)) = (-3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1/2,(= (x) (/ (-1) (2)))
94,"(-1x + (-2)) = (-3)
",(= (+ (* (-1) (x)) (-2)) (-3)),True,x = 1,(= (x) (1))
95,"(-1x - 2) = (3 + 4x)
",(= (- (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
96,"(-1x + 2) = (-3)
",(= (+ (* (-1) (x)) (2)) (-3)),True,x = 5,(= (x) (5))
97,"((-1) + 2x) = 3
",(= (+ (-1) (* (2) (x))) (3)),True,x = 2,(= (x) (2))
98,"(-1x + (-2)) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
99,"(-1x+(-2))=(+4x)
",(= (+ (* (-1) (x)) (-2)) (+ (* (4)) (x))),True,x = -2/5,(= (x) (/ (-2) (5)))
100,"(-1x + 2) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
101,(-1x+2)=(-3),(= (+ (* (-1) (x)) (2)) (-3)),True,x = 5,(= (x) (5))
102,"((-1) + -2x) = (-3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (4))),True,x = 5,(= (x) (5))
103,"((-1) - 2x) = (-3)
",(= (- (-1) (* (2) (x))) (-3)),True,x = 1,(= (x) (1))
104,"(-1) = (-2x / (-3))
",(= (-1) (/ (* (-2) (x)) (-3))),True,x = -3/2,(= (x) (/ (-3) (2)))
105,"1x = (((2 - 3x) - 4) + 5x)
",(= (* (1) (x)) (+ (- (- (2) (* (3) (x))) (4)) (* (5) (x)))),True,x = 2,(= (x) (2))
106,"(((-1) / x) + (-2)) = (-3)
",(= (+ (/ (-1) (x)) (-2)) (-3)),True,x = 1,(= (x) (1))
107,"(1x + (-2)) = ((-3) + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
108,"1x = (-2x - 3)
",(= (* (1) (x)) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1))
109,"1x=(-3)
",(= (* (1) (x)) (-3)),True,x = -3,(= (x) (-3))
110,"(-1) = x
",(= (-1) (x)),True,x = -1,(= (x) (-1))
111,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -2,(= (x) (-2))
112,"((1 - (2 / x)) - 3) = (4 - 5)
",(= (- (- (1) (/ (2) (x))) (3)) (- (4) (5))),True,x = -2,(= (x) (-2))
113,"x = ((1 - 2) / (-3))
",(= (x) (/ (- (1) (2)) (-3))),True,x = 1/3,(= (x) (/ (1) (3)))
114,"(1 + -2x) = ((-3) + 4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 2/3,(= (x) (/ (2) (3)))
115,(1+-2x)=(-3),(= (+ (1) (* (-2) (x))) (-3)),True,x = 2,(= (x) (2))
116,"1x = (2x / x)
",(= (* (1) (x)) (/ (* (2) (x)) (x))),True,x = 2,(= (x) (2))
117,1x=2x,(= (* (1) (x)) (* (2) (x))),True,x = 0,(= (x) (0))
118,"(1 + -2x) = (-3)
",(= (+ (1) (* (-2) (x))) (-3)),True,x = 2,(= (x) (2))
119,"(-1x + 2) = (3 + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
120,"1 = (2x + (-3))
",(= (1) (+ (* (2) (x)) (-3))),True,x = 2,(= (x) (2))
121,"1 = ((2 / x) + (-3))
",(= (1) (+ (/ (2) (x)) (-3))),True,x = 1/2,(= (x) (/ (1) (2)))
122,"(-1x + 2) = (3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1/2,(= (x) (/ (-1) (2)))
123,"(+2)=(3x+4)
",(= (+ (2)) (+ (* (3) (x)) (4))),True,x = -2/3,(= (x) (/ (-2) (3)))
124,"(1x - -2x) = (-3)
",(= (- (* (1) (x)) (* (-2) (x))) (-3)),True,x = -1,(= (x) (-1))
125,"(-1x + 2) = 3
",(= (+ (* (-1) (x)) (2)) (3)),True,x = -1,(= (x) (-1))
126,"(1 + -2x) = (3 + 4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
127,(1+-2x)=3,(= (+ (1) (* (-2) (x))) (3)),True,x = -1,(= (x) (-1))
128,"(-1) = ((2x + 3x) - 4)
",(= (-1) (- (+ (* (2) (x)) (* (3) (x))) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
129,"((-1x - 2) - 3x) = (-4)
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (-4)),True,x = 1/2,(= (x) (/ (1) (2)))
130,"-1x = ((-2) - 3)
",(= (* (-1) (x)) (- (-2) (3))),True,x = 5,(= (x) (5))
131,"-1x=(-3)
",(= (* (-1) (x)) (-3)),True,x = 3,(= (x) (3))
132,"(-1) = ((-2) + (3 / x))
",(= (-1) (+ (-2) (/ (3) (x)))),True,x = 3,(= (x) (3))
133,"x = (((-1) + 2) / 3)
",(= (x) (/ (+ (-1) (2)) (3))),True,x = 1/3,(= (x) (/ (1) (3)))
134,x=((-1)+2),(= (x) (+ (-1) (2))),True,x = 1,(= (x) (1))
135,"((1 + 2x) - 3) = -4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (-4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
136,"-1x = ((2 / x) * x)
",(= (* (-1) (x)) (* (/ (2) (x)) (x))),True,x = -2,(= (x) (-2))
137,"((-1) - 2) = (3x - 4x)
",(= (- (-1) (2)) (- (* (3) (x)) (* (4) (x)))),True,x = 3,(= (x) (3))
138,"1 = (((-2) / x) + 3)
",(= (1) (+ (/ (-2) (x)) (3))),True,x = 1,(= (x) (1))
139,"1x = 2
",(= (* (1) (x)) (2)),True,x = 2,(= (x) (2))
140,"(1 - 2) = 3x
",(= (- (1) (2)) (* (3) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
141,"1=3x
",(= (1) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
142,"(1x + 2) = ((-3) + 4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
143,"(1x+2)=(+4x)
",(= (+ (* (1) (x)) (2)) (+ (* (4)) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
144,"(-1x + 2) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
145,"(-1x+2)=(+-4x)
",(= (+ (* (-1) (x)) (2)) (+ (* (-4)) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
146,"((-1) + 2) = 3x
",(= (+ (-1) (2)) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
147,"(+2)=3x
",(= (+ (2)) (* (3) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
148,"((-1) + -2x) = (3 + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
149,"-1x = (2 + 3)
",(= (* (-1) (x)) (+ (2) (3))),True,x = -5,(= (x) (-5))
150,-1x=2,(= (* (-1) (x)) (2)),True,x = -2,(= (x) (-2))
151,"((-1) + 2x) = ((-3) + 4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
152,((-1)+2x)=(-3),(= (+ (-1) (* (2) (x))) (-3)),True,x = -1,(= (x) (-1))
153,"(1 + 2x) = 3
",(= (+ (1) (* (2) (x))) (3)),True,x = 1,(= (x) (1))
154,"(((-1) / x) * x) = 2x
",(= (* (/ (-1) (x)) (x)) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
155,"((-1) + 2x) = (-3)
",(= (+ (-1) (* (2) (x))) (-3)),True,x = -1,(= (x) (-1))
156,"(1 + 2x) = (-3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
157,"(1+2x)=(+4)
",(= (+ (1) (* (2) (x))) (+ (4))),True,x = 3/2,(= (x) (/ (3) (2)))
158,"((-1) - 2) = (((3 / x) + 4) - 5)
",(= (- (-1) (2)) (- (+ (/ (3) (x)) (4)) (5))),True,x = -3/2,(= (x) (/ (-3) (2)))
159,"-1x = ((-2) + x)
",(= (* (-1) (x)) (+ (-2) (x))),True,x = 1,(= (x) (1))
160,"(-1x + 2) = 3x
",(= (+ (* (-1) (x)) (2)) (* (3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
161,"(+2)=3x
",(= (+ (2)) (* (3) (x))),True,x = 2/3,(= (x) (/ (2) (3)))
162,"1 = (2 + 3x)
",(= (1) (+ (2) (* (3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
163,"(1x - 2) = ((-3) + 4x)
",(= (- (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
164,"-1x = (((-2) + 3x) + 4)
",(= (* (-1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1/2,(= (x) (/ (-1) (2)))
165,-1x=((-2)+3x),(= (* (-1) (x)) (+ (-2) (* (3) (x)))),True,x = 1/2,(= (x) (/ (1) (2)))
166,"(-1) = ((-2) + 3x)
",(= (-1) (+ (-2) (* (3) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
167,"(1x + 2) = (-3)
",(= (+ (* (1) (x)) (2)) (-3)),True,x = -5,(= (x) (-5))
168,"1x=(-3)
",(= (* (1) (x)) (-3)),True,x = -3,(= (x) (-3))
169,"(-1) = ((2 / x) + (-3))
",(= (-1) (+ (/ (2) (x)) (-3))),True,x = 1,(= (x) (1))
170,"(1x + 2) = (-3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
171,"(1x+2)=(+(-4))
",(= (+ (* (1) (x)) (2)) (+ (-4))),True,x = -6,(= (x) (-6))
172,"1 = (2x / 3)
",(= (1) (/ (* (2) (x)) (3))),True,x = 3/2,(= (x) (/ (3) (2)))
173,1=2x,(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
174,"(-1x + 2) = (3 + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
175,"(+2)=(3+4x)
",(= (+ (2)) (+ (3) (* (4) (x)))),True,x = -1/4,(= (x) (/ (-1) (4)))
176,"1 = (2x - 3x)
",(= (1) (- (* (2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1))
177,1=2x,(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
178,"1 = ((-2) + ((-3) / x))
",(= (1) (+ (-2) (/ (-3) (x)))),True,x = -1,(= (x) (-1))
179,"(1 - 2x) = -3x
",(= (- (1) (* (2) (x))) (* (-3) (x))),True,x = -1,(= (x) (-1))
180,"1=-3x
",(= (1) (* (-3) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
181,"(1 + ((-2) / x)) = (-3)
",(= (+ (1) (/ (-2) (x))) (-3)),True,x = 1/2,(= (x) (/ (1) (2)))
182,"x = ((1 + 2) / 3)
",(= (x) (/ (+ (1) (2)) (3))),True,x = 1,(= (x) (1))
183,x=(1+2),(= (x) (+ (1) (2))),True,x = 3,(= (x) (3))
184,"(-1) = ((-2) + -3x)
",(= (-1) (+ (-2) (* (-3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
185,"(1 + (2 / x)) = 3
",(= (+ (1) (/ (2) (x))) (3)),True,x = 1,(= (x) (1))
186,"((-1) + 2x) = (3 + 4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (4) (x)))),True,x = -2,(= (x) (-2))
187,((-1)+2x)=3,(= (+ (-1) (* (2) (x))) (3)),True,x = 2,(= (x) (2))
188,"((1 + 2x) + 3) = 4x
",(= (+ (+ (1) (* (2) (x))) (3)) (* (4) (x))),True,x = 2,(= (x) (2))
189,"(1+3)=4x
",(= (+ (1) (3)) (* (4) (x))),True,x = 1,(= (x) (1))
190,"(1 + 2x) = (3 + 4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
191,"1=(3+4x)
",(= (1) (+ (3) (* (4) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
192,"1x = ((-2) - 3x)
",(= (* (1) (x)) (- (-2) (* (3) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
193,"1x=(-3x)
",(= (* (1) (x)) (* (-3) (x))),True,x = 0,(= (x) (0))
194,"(1x + 2) = (3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1))
195,"1x=(3x+4)
",(= (* (1) (x)) (+ (* (3) (x)) (4))),True,x = -2,(= (x) (-2))
196,"(((-1) - 2x) + 3) = -4x
",(= (+ (- (-1) (* (2) (x))) (3)) (* (-4) (x))),True,x = -1,(= (x) (-1))
197,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (- (+ (-4) (* (5) (x))) (* (6) (x)))),True,x = 2,(= (x) (2))
198,"(1x + 2) = ((-3) + -4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1))
199,"(1x+2)=(+-4x)
",(= (+ (* (1) (x)) (2)) (+ (* (-4)) (x))),True,x = -2/5,(= (x) (/ (-2) (5)))
200,"((-1) + 2x) = ((-3) + -4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (-4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
201,"(-1)=((-3)+-4x)
",(= (-1) (+ (-3) (* (-4) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
202,"((1 / x) + (-2)) = (-3)
",(= (+ (/ (1) (x)) (-2)) (-3)),True,x = -1,(= (x) (-1))
203,"(1x / 2) = (3 / 4)
",(= (/ (* (1) (x)) (2)) (/ (3) (4))),True,x = 3/2,(= (x) (/ (3) (2)))
204,(1x/2)=3,(= (/ (* (1) (x)) (2)) (3)),True,x = 6,(= (x) (6))
205,"((-1) - 2x) = -3x
",(= (- (-1) (* (2) (x))) (* (-3) (x))),True,x = 1,(= (x) (1))
206,"(1x + 2) = (-3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (4))),True,x = 1/2,(= (x) (/ (1) (2)))
207,"1x=(-3x+4)
",(= (* (1) (x)) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1))
