,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
41, ((-6 - 2x) - 1x)=((4 + 1x) - 2) ,(= (- (- (-6) (* (2) (x))) (* (1) (x))) (- (+ (4) (* (1) (x))) (2))),True,x = -2,(= (x) (-2))
42, ((-6 + 2) + 1)=((4 + 1x) - 2x) ,(= (+ (+ (-6) (2)) (1)) (- (+ (4) (* (1) (x))) (* (2) (x)))),True,x = 7,(= (x) (7))
43,((-6+2)+1)=(4+1x),(= (+ (+ (-6) (2)) (1)) (+ (4) (* (1) (x)))),True,x = -7,(= (x) (-7))
44, ((-6 + 2x) + 1x)=((4 - 1x) - 2x) ,(= (+ (+ (-6) (* (2) (x))) (* (1) (x))) (- (- (4) (* (1) (x))) (* (2) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
45, ((-6 + 2) + 1x)=((4 + 1x) - 2x) ,(= (+ (+ (-6) (2)) (* (1) (x))) (- (+ (4) (* (1) (x))) (* (2) (x)))),True,x = 4,(= (x) (4))
46, ((-2 - 2x) - 1x)=((4 + 1) + 2) ,(= (- (- (-2) (* (2) (x))) (* (1) (x))) (+ (+ (4) (1)) (2))),True,x = -3,(= (x) (-3))
47, ((-6x - 2) - 1x)=((4x + 1) - 2x) ,(= (- (- (* (-6) (x)) (2)) (* (1) (x))) (- (+ (* (4) (x)) (1)) (* (2) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
48, ((-6x - 2x) - 1)=((4x - 1) + 2) ,(= (- (- (* (-6) (x)) (* (2) (x))) (1)) (+ (- (* (4) (x)) (1)) (2))),True,x = -1/6,(= (x) (/ (-1) (6)))
49, ((-6x - 2) - 1x)=((4x + 1x) + 2x) ,(= (- (- (* (-6) (x)) (2)) (* (1) (x))) (+ (+ (* (4) (x)) (* (1) (x))) (* (2) (x)))),True,x = -1/7,(= (x) (/ (-1) (7)))
50, ((-1 - 2) + 1x)=((4x + 1) + 2) ,(= (+ (- (-1) (2)) (* (1) (x))) (+ (+ (* (4) (x)) (1)) (2))),True,x = -2,(= (x) (-2))
51,(x + 3x) = 4,(= (+ (x) (* (3) (x))) (4)),True,x = 1,(= (x) (1))
52,x=4,(= (x) (4)),True,x = 4,(= (x) (4))
