,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol
25,"(1 + -2x) = ((-3) + -4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),TRUE,x = -2,(= (x) (-2))
26,"(1+-2x)=(+-4x)
",(= (+ (1) (* (-2) (x))) (+ (* (-4)) (x))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
27,"((-1) + -2x) = (-3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),TRUE,x = -3,(= (x) (-3))
28,"(+-2x)=(-3x+(-4))
",(= (+ (* (-2)) (x)) (+ (* (-3) (x)) (-4))),TRUE,x = -4,(= (x) (-4))
29,"((-1x + 2) - 3x) = 4
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (4)),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
30,"(-1x+2)=4
",(= (+ (* (-1) (x)) (2)) (4)),TRUE,x = -2,(= (x) (-2))
31,"1 = ((-2) + -3x)
",(= (1) (+ (-2) (* (-3) (x)))),TRUE,x = -1,(= (x) (-1))
32,"((-1) - 2x) = (3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (3) (x)) (4))),TRUE,x = 3/5,(= (x) (/ (3) (5)))
33,"((1x - 2) + 3) = ((4x - 5) + 6)
",(= (+ (- (* (1) (x)) (2)) (3)) (+ (- (* (4) (x)) (5)) (6))),TRUE,x = 0,(= (x) (0))
34,"1 = ((2 - 3x) - 4x)
",(= (1) (- (- (2) (* (3) (x))) (* (4) (x)))),TRUE,x = 1/7,(= (x) (/ (1) (7)))
35,"x = (-1x + 2)
",(= (x) (+ (* (-1) (x)) (2))),TRUE,x = 1,(= (x) (1))
36,"x=(+2)
",(= (x) (+ (2))),TRUE,x = 2,(= (x) (2))
37,"(1 + 2x) = (3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (4))),TRUE,x = -3,(= (x) (-3))
38,"1=(3x+4)
",(= (1) (+ (* (3) (x)) (4))),TRUE,x = -1,(= (x) (-1))
39,"((-1) + -2x) = (-3)
",(= (+ (-1) (* (-2) (x))) (-3)),TRUE,x = 1,(= (x) (1))
40,"((-1) + 2x) = (-3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (-4))),TRUE,x = -3/5,(= (x) (/ (-3) (5)))
41,"(-1)=(-3x+(-4))
",(= (-1) (+ (* (-3) (x)) (-4))),TRUE,x = -1,(= (x) (-1))
42,"((-1) + 2x) = (3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (3) (x)) (4))),TRUE,x = 3,(= (x) (3))
43,((-1)+2x)=3x,(= (+ (-1) (* (2) (x))) (* (3) (x))),TRUE,x = -1,(= (x) (-1))
44,"(-1x + 2) = (3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (-4))),TRUE,x = 3/2,(= (x) (/ (3) (2)))
45,"((-1) - 2x) = (3 - 4x)
",(= (- (-1) (* (2) (x))) (- (3) (* (4) (x)))),TRUE,x = 2,(= (x) (2))
46,"(1 / 2) = (((-3) + 4x) / 5)
",(= (/ (1) (2)) (/ (+ (-3) (* (4) (x))) (5))),TRUE,x = 11/8,(= (x) (/ (1) (1) (8)))
47,"1=(((-3)+4x)/5)
",(= (1) (/ (+ (-3) (* (4) (x))) (5))),TRUE,x = 2,(= (x) (2))
48,"((-1) + -2x) = ((-3) + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),TRUE,x = -1,(= (x) (-1))
49,"((-1) + -2x) = (3 + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (-4) (x)))),TRUE,x = 2,(= (x) (2))
50,"(1x + 2) = (3 - 4x)
",(= (+ (* (1) (x)) (2)) (- (3) (* (4) (x)))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
51,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),TRUE,x = -4/3,(= (x) (/ (-4) (3)))
52,(((-1)+2x)+3x)=(-4x+(-5)),(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (* (-4) (x)) (-5))),TRUE,x = -4/9,(= (x) (/ (-4) (9)))
53,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),TRUE,x = -3,(= (x) (-3))
54,1x=2x,(= (* (1) (x)) (* (2) (x))),TRUE,x = 0,(= (x) (0))
55,"((-1x - 2) + 3) = 4x
",(= (+ (- (* (-1) (x)) (2)) (3)) (* (4) (x))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
56,"(1x + (-2)) = (-3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (-4))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
57,"(-1x - 2) = (3 + 4x)
",(= (- (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),TRUE,x = -1,(= (x) (-1))
58,"((-1) + 2x) = 3
",(= (+ (-1) (* (2) (x))) (3)),TRUE,x = 2,(= (x) (2))
59,"(+2x)=3
",(= (+ (* (2)) (x)) (3)),TRUE,x = 3/2,(= (x) (/ (3) (2)))
60,"(-1x + (-2)) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (4) (x)))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
61,(-1x+(-2))=(-3),(= (+ (* (-1) (x)) (-2)) (-3)),TRUE,x = 1,(= (x) (1))
62,"(-1x + 2) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (4) (x)))),TRUE,x = 1,(= (x) (1))
63,"-1x=((-3)+4x)
",(= (* (-1) (x)) (+ (-3) (* (4) (x)))),TRUE,x = 3/5,(= (x) (/ (3) (5)))
64,"((-1) + -2x) = (-3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (4))),TRUE,x = 5,(= (x) (5))
65,"(+-2x)=(-3x+4)
",(= (+ (* (-2)) (x)) (+ (* (-3) (x)) (4))),TRUE,x = 4,(= (x) (4))
66,"((-1) - 2x) = (-3)
",(= (- (-1) (* (2) (x))) (-3)),TRUE,x = 1,(= (x) (1))
67,"1x = (((2 - 3x) - 4) + 5x)
",(= (* (1) (x)) (+ (- (- (2) (* (3) (x))) (4)) (* (5) (x)))),TRUE,x = 2,(= (x) (2))
68,"(1x + (-2)) = ((-3) + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (-4) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
69,"1x = (-2x - 3)
",(= (* (1) (x)) (- (* (-2) (x)) (3))),TRUE,x = -1,(= (x) (-1))
70,"1x=(-3)
",(= (* (1) (x)) (-3)),TRUE,x = -3,(= (x) (-3))
71,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),TRUE,x = -2,(= (x) (-2))
72,"((1 - (2 / x)) - 3) = (4 - 5)
",(= (- (- (1) (/ (2) (x))) (3)) (- (4) (5))),TRUE,x = -2,(= (x) (-2))
73,"(1 + -2x) = ((-3) + 4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (4) (x)))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
74,(1+-2x)=(-3),(= (+ (1) (* (-2) (x))) (-3)),TRUE,x = 2,(= (x) (2))
75,"(-1x + 2) = (3 + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (-4) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
76,"(+2)=(3+-4x)
",(= (+ (2)) (+ (3) (* (-4) (x)))),TRUE,x = 1/4,(= (x) (/ (1) (4)))
77,"(-1x + 2) = (3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (4))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
78,"(+2)=(3x+4)
",(= (+ (2)) (+ (* (3) (x)) (4))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
79,"(1 + -2x) = (3 + 4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (4) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
80,"(-1) = ((2x + 3x) - 4)
",(= (-1) (- (+ (* (2) (x)) (* (3) (x))) (4))),TRUE,x = 3/5,(= (x) (/ (3) (5)))
81,"((-1x - 2) - 3x) = (-4)
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (-4)),TRUE,x = 1/2,(= (x) (/ (1) (2)))
82,"((1 + 2x) - 3) = -4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (-4) (x))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
83,"(1+2x)=-4x
",(= (+ (1) (* (2) (x))) (* (-4) (x))),TRUE,x = -1/6,(= (x) (/ (-1) (6)))
84,"(1x + 2) = ((-3) + 4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),TRUE,x = 5/3,(= (x) (/ (5) (3)))
85,"(1x+2)=(+4x)
",(= (+ (* (1) (x)) (2)) (+ (* (4)) (x))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
86,"(-1x + 2) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (-4) (x)))),TRUE,x = -5/3,(= (x) (/ (-5) (3)))
87,"(-1x+2)=(+-4x)
",(= (+ (* (-1) (x)) (2)) (+ (* (-4)) (x))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
88,"((-1) + -2x) = (3 + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (4) (x)))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
89,"(+-2x)=(3+4x)
",(= (+ (* (-2)) (x)) (+ (3) (* (4) (x)))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
90,"((-1) + 2x) = ((-3) + 4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (4) (x)))),TRUE,x = 1,(= (x) (1))
91,((-1)+2x)=(-3),(= (+ (-1) (* (2) (x))) (-3)),TRUE,x = -1,(= (x) (-1))
92,"((-1) + 2x) = (-3)
",(= (+ (-1) (* (2) (x))) (-3)),TRUE,x = -1,(= (x) (-1))
93,"(+2x)=(-3)
",(= (+ (* (2)) (x)) (-3)),TRUE,x = -3/2,(= (x) (/ (-3) (2)))
94,"(1 + 2x) = (-3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (4))),TRUE,x = 3/5,(= (x) (/ (3) (5)))
95,(1+2x)=-3x,(= (+ (1) (* (2) (x))) (* (-3) (x))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
96,"-1x = ((-2) + x)
",(= (* (-1) (x)) (+ (-2) (x))),TRUE,x = 1,(= (x) (1))
97,"-1x=(+x)
",(= (* (-1) (x)) (+ (x))),TRUE,x = 0,(= (x) (0))
98,"(-1x + 2) = 3x
",(= (+ (* (-1) (x)) (2)) (* (3) (x))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
99,"(+2)=3x
",(= (+ (2)) (* (3) (x))),TRUE,x = 2/3,(= (x) (/ (2) (3)))
100,"1 = (2 + 3x)
",(= (1) (+ (2) (* (3) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
101,"(1x - 2) = ((-3) + 4x)
",(= (- (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
102,"1x=((-3)+4x)
",(= (* (1) (x)) (+ (-3) (* (4) (x)))),TRUE,x = 1,(= (x) (1))
103,"-1x = (((-2) + 3x) + 4)
",(= (* (-1) (x)) (+ (+ (-2) (* (3) (x))) (4))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
104,"-1x=((+3x)+4)
",(= (* (-1) (x)) (+ (+ (* (3)) (x)) (4))),TRUE,x = -1,(= (x) (-1))
105,"(1x + 2) = (-3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (-4))),TRUE,x = -3/2,(= (x) (/ (-3) (2)))
106,"(-1x + 2) = (3 + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
107,(-1x+2)=3,(= (+ (* (-1) (x)) (2)) (3)),TRUE,x = -1,(= (x) (-1))
108,"(1 - 2x) = -3x
",(= (- (1) (* (2) (x))) (* (-3) (x))),TRUE,x = -1,(= (x) (-1))
109,"1=-3x
",(= (1) (* (-3) (x))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
110,"((-1) + 2x) = (3 + 4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (4) (x)))),TRUE,x = -2,(= (x) (-2))
111,"(+2x)=(3+4x)
",(= (+ (* (2)) (x)) (+ (3) (* (4) (x)))),TRUE,x = -3/2,(= (x) (/ (-3) (2)))
112,"((1 + 2x) + 3) = 4x
",(= (+ (+ (1) (* (2) (x))) (3)) (* (4) (x))),TRUE,x = 2,(= (x) (2))
113,"(1+3)=4x
",(= (+ (1) (3)) (* (4) (x))),TRUE,x = 1,(= (x) (1))
114,"(1 + 2x) = (3 + 4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (4) (x)))),TRUE,x = -1,(= (x) (-1))
115,"1=(3+4x)
",(= (1) (+ (3) (* (4) (x)))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
116,"1x = ((-2) - 3x)
",(= (* (1) (x)) (- (-2) (* (3) (x)))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
117,"1x=(-3x)
",(= (* (1) (x)) (* (-3) (x))),TRUE,x = 0,(= (x) (0))
118,"(1x + 2) = (3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (4))),TRUE,x = -1,(= (x) (-1))
119,"1x=(3x+4)
",(= (* (1) (x)) (+ (* (3) (x)) (4))),TRUE,x = -2,(= (x) (-2))
120,"(((-1) - 2x) + 3) = -4x
",(= (+ (- (-1) (* (2) (x))) (3)) (* (-4) (x))),TRUE,x = -1,(= (x) (-1))
121,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (- (+ (-4) (* (5) (x))) (* (6) (x)))),TRUE,x = 2,(= (x) (2))
122,"(1x + 2) = ((-3) + -4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (-4) (x)))),TRUE,x = -1,(= (x) (-1))
123,"((-1) + 2x) = ((-3) + -4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (-4) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
124,"((-1) - 2x) = -3x
",(= (- (-1) (* (2) (x))) (* (-3) (x))),TRUE,x = 1,(= (x) (1))
125,"(-1)=-3x
",(= (-1) (* (-3) (x))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
126,"(1x + 2) = (-3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (4))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
127,"1x=(-3x+4)
",(= (* (1) (x)) (+ (* (-3) (x)) (4))),TRUE,x = 1,(= (x) (1))
128,"((1 + 2x) - 3) = 4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (4) (x))),TRUE,x = -1,(= (x) (-1))
129,"((-1) + -2x) = (3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (-4))),TRUE,x = 3/5,(= (x) (/ (3) (5)))
130,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (4) (* (-5) (x))) (* (6) (x)))),TRUE,x = 5/4,(= (x) (/ (5) (4)))
131,"((-1)+3x)=((4+-5x)+6x)
",(= (+ (-1) (* (3) (x))) (+ (+ (4) (* (-5) (x))) (* (6) (x)))),TRUE,x = 5/2,(= (x) (/ (5) (2)))
132,"(1 + 2x) = ((-3) + 4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (4) (x)))),TRUE,x = 2,(= (x) (2))
133,"1=((-3)+4x)
",(= (1) (+ (-3) (* (4) (x)))),TRUE,x = 1,(= (x) (1))
134,"(1 + 2x) = (3 + -4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (-4) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
135,"1=(3+-4x)
",(= (1) (+ (3) (* (-4) (x)))),TRUE,x = 1/2,(= (x) (/ (1) (2)))
136,"-1x = (2x - 3)
",(= (* (-1) (x)) (- (* (2) (x)) (3))),TRUE,x = 1,(= (x) (1))
137,"((1 + -2x) + 3x) = ((-4x + 5) + 6x)
",(= (+ (+ (1) (* (-2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (5)) (* (6) (x)))),TRUE,x = -4,(= (x) (-4))
138,((1+-2x)+3x)=(-4x+5),(= (+ (+ (1) (* (-2) (x))) (* (3) (x))) (+ (* (-4) (x)) (5))),TRUE,x = 4/5,(= (x) (/ (4) (5)))
139,"((-1) + -2x) = (3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (4))),TRUE,x = -1,(= (x) (-1))
140,"(+-2x)=(3x+4)
",(= (+ (* (-2)) (x)) (+ (* (3) (x)) (4))),TRUE,x = -4/5,(= (x) (/ (-4) (5)))
141,"(1x + (-2)) = (3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (-4))),TRUE,x = 1,(= (x) (1))
142,"(-1x - 2) = (3 - 4x)
",(= (- (* (-1) (x)) (2)) (- (3) (* (4) (x)))),TRUE,x = 5/3,(= (x) (/ (5) (3)))
143,"-1x = ((2 + -3x) - 4)
",(= (* (-1) (x)) (- (+ (2) (* (-3) (x))) (4))),TRUE,x = -1,(= (x) (-1))
144,"(1 + 2x) = -3x
",(= (+ (1) (* (2) (x))) (* (-3) (x))),TRUE,x = -1/5,(= (x) (/ (-1) (5)))
145,"(1x - 2) = 3x
",(= (- (* (1) (x)) (2)) (* (3) (x))),TRUE,x = -1,(= (x) (-1))
146,"1x=3x
",(= (* (1) (x)) (* (3) (x))),TRUE,x = 0,(= (x) (0))
147,"(-1x + (-2)) = (3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (4))),TRUE,x = -3/2,(= (x) (/ (-3) (2)))
148,"(+(-2))=(3x+4)
",(= (+ (-2)) (+ (* (3) (x)) (4))),TRUE,x = -2,(= (x) (-2))
149,"((1x - 2) + 3) = 4x
",(= (+ (- (* (1) (x)) (2)) (3)) (* (4) (x))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
150,"(-1) = ((2x + 3) + 4x)
",(= (-1) (+ (+ (* (2) (x)) (3)) (* (4) (x)))),TRUE,x = -2/3,(= (x) (/ (-2) (3)))
151,"(1x + 2) = (3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (-4))),TRUE,x = 3,(= (x) (3))
152,"1x=(3x+(-4))
",(= (* (1) (x)) (+ (* (3) (x)) (-4))),TRUE,x = 2,(= (x) (2))
153,"(1 + -2x) = (3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (4))),TRUE,x = -3/5,(= (x) (/ (-3) (5)))
154,(1+-2x)=3x,(= (+ (1) (* (-2) (x))) (* (3) (x))),TRUE,x = 1/5,(= (x) (/ (1) (5)))
155,"(((-1) + 2x) + 3) = ((4 + 5x) + 6)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (+ (4) (* (5) (x))) (6))),TRUE,x = -8/3,(= (x) (/ (-8) (3)))
156,"((+2x)+3)=((4+5x)+6)
",(= (+ (+ (* (2)) (x)) (3)) (+ (+ (4) (* (5) (x))) (6))),TRUE,x = -7/3,(= (x) (/ (-7) (3)))
157,"((-1x + (-2)) - 3) = 4x
",(= (- (+ (* (-1) (x)) (-2)) (3)) (* (4) (x))),TRUE,x = -1,(= (x) (-1))
158,"((+(-2))-3)=4x
",(= (+ (-2) (-3)) (* (4) (x))),TRUE,x = -5/4,(= (x) (/ (-5) (4)))
159,"((-1) + -2x) = ((-3) + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (4) (x)))),TRUE,x = 1/3,(= (x) (/ (1) (3)))
160,"(1x + 2) = (3 + 4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (4) (x)))),TRUE,x = -1/3,(= (x) (/ (-1) (3)))
161,(1x+2)=3,(= (+ (* (1) (x)) (2)) (3)),TRUE,x = 1,(= (x) (1))
162,"((1x + 2) + 3x) = 4
",(= (+ (+ (* (1) (x)) (2)) (* (3) (x))) (4)),TRUE,x = 1/2,(= (x) (/ (1) (2)))
163,"(1x+2)=4
",(= (+ (* (1) (x)) (2)) (4)),TRUE,x = 2,(= (x) (2))
164,"(-1x + 2) = (-3x - 4)
",(= (+ (* (-1) (x)) (2)) (- (* (-3) (x)) (4))),TRUE,x = -3,(= (x) (-3))
165,(-1x+2)=-3x,(= (+ (* (-1) (x)) (2)) (* (-3) (x))),TRUE,x = -1,(= (x) (-1))
166,"1 = ((-2x + 3) + 4x)
",(= (1) (+ (+ (* (-2) (x)) (3)) (* (4) (x)))),TRUE,x = -1,(= (x) (-1))
167,"1=((+3)+4x)
",(= (1) (+ (+ (3)) (* (4) (x)))),TRUE,x = -1/2,(= (x) (/ (-1) (2)))
168,"(1 + -2x) = (-3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (4))),TRUE,x = 3,(= (x) (3))
169,"(1 + 2x) = (-3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (-4))),TRUE,x = -1,(= (x) (-1))
170,"(1+2x)=(+(-4))
",(= (+ (1) (* (2) (x))) (+ (-4))),TRUE,x = -5/2,(= (x) (/ (-5) (2)))
171,"-1x = ((-2x + 3) + 4)
",(= (* (-1) (x)) (+ (+ (* (-2) (x)) (3)) (4))),TRUE,x = 7,(= (x) (7))
172,"-1x=((+3)+4)
",(= (* (-1) (x)) (+ (+ (3)) (4))),TRUE,x = -7,(= (x) (-7))
173,"((1 - 2x) - 3) = ((4 + 5x) - 6)
",(= (- (- (1) (* (2) (x))) (3)) (- (+ (4) (* (5) (x))) (6))),TRUE,x = 0,(= (x) (0))
174,"(1x + (-2)) = (3 + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (4) (x)))),TRUE,x = -5/3,(= (x) (/ (-5) (3)))
175,"(((-1) + 2x) + 3) = (4 + 5)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (5))),TRUE,x = 7/2,(= (x) (/ (7) (2)))
176,(((-1)+2x)+3)=4,(= (+ (+ (-1) (* (2) (x))) (3)) (4)),TRUE,x = 1,(= (x) (1))
177,"((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
",(= (+ (+ (* (-1) (x)) (2)) (* (3) (x))) (+ (- (-4) (* (5) (x))) (* (6) (x)))),TRUE,x = -6,(= (x) (-6))
178,"((-1x+2)+3x)=((-5x)+6x)
",(= (+ (+ (* (-1) (x)) (2)) (* (3) (x))) (+ (* (-5) (x)) (* (6) (x)))),TRUE,x = -2,(= (x) (-2))
179,"((1x + 2) - 3x) = (4x - 5x)
",(= (- (+ (* (1) (x)) (2)) (* (3) (x))) (- (* (4) (x)) (* (5) (x)))),TRUE,x = 2,(= (x) (2))
180,"1x = (2 + 3x)
",(= (* (1) (x)) (+ (2) (* (3) (x)))),TRUE,x = -1,(= (x) (-1))
181,1x=2,(= (* (1) (x)) (2)),TRUE,x = 2,(= (x) (2))
